branch_segment,snv_count,snv_count_age,opportunity,snv_count_per_gb,snv_count_age_per_gb,patient_id
internal_0_pre_wgd,448,79,2.9021397943697687,154.36885599692076,27.221293803028434,SPECTRUM-OV-002
internal_0_post_wgd,2382,348,4.532839266902942,525.4984480461183,76.77307301429435,SPECTRUM-OV-002
clone_1,102,6,1.6313726416330319,62.5240349120335,3.677884406590206,SPECTRUM-OV-002
clone_0,100,17,4.53283466284929,22.061250285520252,3.7504125485384425,SPECTRUM-OV-002
internal_0_pre_wgd,95,5,0.504441545712538,188.32707338926616,9.911951231014008,SPECTRUM-OV-003
internal_0_post_wgd,348,16,0.6026231227781529,577.4753520835463,26.550590900392933,SPECTRUM-OV-003
clone_0,17,0,0.09176869004783882,185.2483672932232,0.0,SPECTRUM-OV-003
clone_1,130,7,0.5276175312969137,246.39059979764633,13.267186142950187,SPECTRUM-OV-003
internal_0,2211,341,2.465599999999883,896.7391304348251,138.3030499675601,SPECTRUM-OV-004
clone_0/2,384,38,2.46559953724636,155.74305324086015,15.41207297696012,SPECTRUM-OV-004
clone_1,280,30,2.4655919370701906,113.56299304446863,12.167463540478781,SPECTRUM-OV-004
internal_0,4122,170,1.6628999999076255,2478.8020928672668,102.23104216094987,SPECTRUM-OV-006
clone_0/1/3,1174,46,1.6628999974401892,705.995551029656,27.66251733165603,SPECTRUM-OV-006
clone_2/4,570,19,1.133336859804262,502.9396115277186,16.764653717590623,SPECTRUM-OV-006
internal_0,2937,172,1.8783731882901695,1563.5870541111528,91.56859833405457,SPECTRUM-OV-007
clone_1,188,12,1.1344469484548552,165.71951668260968,10.57784149037934,SPECTRUM-OV-007
clone_3,194,5,0.6571537604624705,295.21249313626834,7.608569410728565,SPECTRUM-OV-007
clone_0_pre_wgd,1264,88,1.245530351826214,1014.8287419465174,70.6526339329854,SPECTRUM-OV-008
clone_0_post_wgd,3242,143,1.5892296282894667,2039.982103460692,89.98070351476834,SPECTRUM-OV-008
internal_0,1348,109,1.7470800000000002,771.5731391808044,62.389816150376625,SPECTRUM-OV-009
internal_1,421,25,1.7470799999997826,240.97351008542964,14.309590860179906,SPECTRUM-OV-009
clone_0,348,16,1.7470799841104474,199.18950658529212,9.158138233806534,SPECTRUM-OV-009
clone_3,353,19,1.3103343725019365,269.3968863275609,14.50011569468458,SPECTRUM-OV-009
clone_1,236,15,1.7351358462307531,136.0124053183872,8.644856270236476,SPECTRUM-OV-009
clone_2,1044,52,1.747079999855592,597.5685143704317,29.763948991630695,SPECTRUM-OV-009
internal_0_pre_wgd,242,40,2.231345985704894,108.45471816131237,17.92639969608469,SPECTRUM-OV-014
internal_0_post_wgd,3282,333,3.25434892070074,1008.4966547758211,102.32461488127618,SPECTRUM-OV-014
clone_0/1,150,7,1.6575885042751533,90.49290557525524,4.2230022601785775,SPECTRUM-OV-014
clone_4/5,103,3,0.998044921448924,103.20176756219398,3.005876725112446,SPECTRUM-OV-014
clone_3,143,9,1.0418319327387189,137.2582232376851,8.638629434539622,SPECTRUM-OV-014
clone_2,41,1,1.3278614332175749,30.876715728275844,0.7530906275189231,SPECTRUM-OV-014
internal_0,1256,111,1.8556399938447405,676.8554267887203,59.81763724008594,SPECTRUM-OV-022
internal_1,201,16,1.8556370989354636,108.31859317498507,8.622375576118214,SPECTRUM-OV-022
clone_0,94,8,1.789253094437087,52.53588790331148,4.471139396026509,SPECTRUM-OV-022
clone_3,124,11,0.9526665433301982,130.1609685657042,11.546537534054405,SPECTRUM-OV-022
clone_1,79,4,1.841911776565651,42.89021928471514,2.1716566726438042,SPECTRUM-OV-022
clone_2,370,28,1.806023663134419,204.86996242222634,15.503672831952263,SPECTRUM-OV-022
internal_0,1156,117,0.7741799992640606,1493.1927989600604,151.12764487744556,SPECTRUM-OV-025
internal_1_pre_wgd,214,12,0.7741799309671377,276.42152869122083,15.500272636890887,SPECTRUM-OV-025
internal_1_post_wgd,1266,31,1.4043793266540106,901.4658475614955,22.073808273622717,SPECTRUM-OV-025
clone_0,111,3,0.9562900605864221,116.07356865335596,3.1371234771177288,SPECTRUM-OV-025
clone_1,14,1,1.404361393267001,9.968943939302868,0.7120674242359191,SPECTRUM-OV-025
clone_3_pre_wgd,190,16,0.7557899446832629,251.3926009952744,21.169903241707317,SPECTRUM-OV-025
clone_3_post_wgd,439,42,1.2340360038167755,355.7432673294846,34.03466338915342,SPECTRUM-OV-025
internal_0,2777,164,1.7181000000000002,1616.320353879285,95.45428089168266,SPECTRUM-OV-026
internal_1,244,9,1.7181000000000002,142.01734474128395,5.238344683080146,SPECTRUM-OV-026
clone_1,111,8,1.7180844730117721,64.60683496278791,4.656348465786516,SPECTRUM-OV-026
clone_0,11,0,1.7180999999937736,6.402421279343382,0.0,SPECTRUM-OV-026
internal_2,52,2,1.7180913101339252,30.26614458340203,1.1640824839770012,SPECTRUM-OV-026
clone_2,36,3,1.5448247295528665,23.30361452099477,1.9419678767495643,SPECTRUM-OV-026
