leaf_id,sample_id,n_cells,cluster_size,patient_id
3,SPECTRUM-OV-026_S1_LEFT_OVARY,0,542,SPECTRUM-OV-026
0,SPECTRUM-OV-031_S1_INFRARENAL_LYMPH_NODE,0,281,SPECTRUM-OV-031
0,SPECTRUM-OV-031_S1_LEFT_FALLOPIAN_TUBE,281,281,SPECTRUM-OV-031
1,SPECTRUM-OV-031_S1_INFRARENAL_LYMPH_NODE,0,107,SPECTRUM-OV-031
1,SPECTRUM-OV-031_S1_LEFT_FALLOPIAN_TUBE,107,107,SPECTRUM-OV-031
2,SPECTRUM-OV-031_S1_INFRARENAL_LYMPH_NODE,0,99,SPECTRUM-OV-031
2,SPECTRUM-OV-031_S1_LEFT_FALLOPIAN_TUBE,99,99,SPECTRUM-OV-031
3,SPECTRUM-OV-031_S1_INFRARENAL_LYMPH_NODE,25,155,SPECTRUM-OV-031
3,SPECTRUM-OV-031_S1_LEFT_FALLOPIAN_TUBE,137,155,SPECTRUM-OV-031
0,SPECTRUM-OV-036_S1_LEFT_OVARY,204,200,SPECTRUM-OV-036
0,SPECTRUM-OV-036_S1_RIGHT_ADNEXA,0,200,SPECTRUM-OV-036
1,SPECTRUM-OV-036_S1_LEFT_OVARY,0,282,SPECTRUM-OV-036
1,SPECTRUM-OV-036_S1_RIGHT_ADNEXA,288,282,SPECTRUM-OV-036
2,SPECTRUM-OV-036_S1_LEFT_OVARY,4,406,SPECTRUM-OV-036
2,SPECTRUM-OV-036_S1_RIGHT_ADNEXA,406,406,SPECTRUM-OV-036
3,SPECTRUM-OV-036_S1_LEFT_OVARY,0,153,SPECTRUM-OV-036
3,SPECTRUM-OV-036_S1_RIGHT_ADNEXA,155,153,SPECTRUM-OV-036
0,SPECTRUM-OV-037_S1_INFRACOLIC_OMENTUM,42,41,SPECTRUM-OV-037
0,SPECTRUM-OV-037_S1_LEFT_OVARY,2,41,SPECTRUM-OV-037
1,SPECTRUM-OV-037_S1_INFRACOLIC_OMENTUM,131,129,SPECTRUM-OV-037
1,SPECTRUM-OV-037_S1_LEFT_OVARY,2,129,SPECTRUM-OV-037
2,SPECTRUM-OV-037_S1_INFRACOLIC_OMENTUM,27,24,SPECTRUM-OV-037
2,SPECTRUM-OV-037_S1_LEFT_OVARY,0,24,SPECTRUM-OV-037
3,SPECTRUM-OV-037_S1_INFRACOLIC_OMENTUM,3,174,SPECTRUM-OV-037
3,SPECTRUM-OV-037_S1_LEFT_OVARY,171,174,SPECTRUM-OV-037
0,SPECTRUM-OV-044_S1_RIGHT_FALLOPIAN_TUBE,9,985,SPECTRUM-OV-044
0,SPECTRUM-OV-044_S1_RIGHT_OMENTUM,979,985,SPECTRUM-OV-044
1,SPECTRUM-OV-044_S1_RIGHT_FALLOPIAN_TUBE,489,488,SPECTRUM-OV-044
1,SPECTRUM-OV-044_S1_RIGHT_OMENTUM,2,488,SPECTRUM-OV-044
2,SPECTRUM-OV-044_S1_RIGHT_FALLOPIAN_TUBE,66,64,SPECTRUM-OV-044
2,SPECTRUM-OV-044_S1_RIGHT_OMENTUM,0,64,SPECTRUM-OV-044
3,SPECTRUM-OV-044_S1_RIGHT_FALLOPIAN_TUBE,110,109,SPECTRUM-OV-044
3,SPECTRUM-OV-044_S1_RIGHT_OMENTUM,0,109,SPECTRUM-OV-044
0,SPECTRUM-OV-045_S1_INFRACOLIC_OMENTUM,1,486,SPECTRUM-OV-045
0,SPECTRUM-OV-045_S1_LEFT_OVARY,503,486,SPECTRUM-OV-045
0,SPECTRUM-OV-045_S1_PELVIC_IMPLANT,2,486,SPECTRUM-OV-045
0,SPECTRUM-OV-045_S1_RIGHT_OVARY,1,486,SPECTRUM-OV-045
